id,judul_berita,deskripsi_kejadian,lokasi_kejadian,waktu_kejadian,kategori_kejahatan,label_urgensi,sumber,url,scraped_at
828,Densus 88 Reintegrasi Sosial Eks Napiter Perempuan asal Tanah Datar,"Densus 88 Anti Teror Mabes Polri (Densus AT Polri) melakukan reintegrasi sosial terhadap seorang eks Narapidana Terorisme (Napiter) perempuan di Kabupaten Tanah Datar, Sumatera Barat. Wanita bernama Riska Ayulita (32 tahun) itu dikembalikan kepada keluarga setelah menjalani proses hukum dan berikrar kembali ke NKRI. Proses pengembalian kepada lingkungan sekitar atau reintegrasi sosial itu dilakukan di Mapolres Tanah Datar, Selasa (10/2/2026) sore. Kegiatan dihadiri langsung Kasatgaswil Sumbar Densus 88 AT Polri, Kombes Jim Brilliant Birnes dan Kapolres Tanah Datar AKBP Nur Ichsan Dwi bersama keluarga eks napiter serta unsur stakeholder terkait.""Berdasarkan Undang-undang Nomor 5 Tahun 2018, penanganan terorisme tidak hanya berfokus pada penegakan hukum semata, tetapi juga mencakup pembinaan, pendampingan, deradikalisasi, dan pencegahan. Proses deradikalisasi terhadap saudari Riska ini telah dimulai sejak yang bersangkutan berada di rumah tahanan hingga masa pembebasan,"" jelas Kasatgaswil Jim Brilliant kepada wartawan. Ia menjelaskan, Riska telah menjalani proses hukum, hingga kemudian menyadari kekeliruannya dan menyatakan kembali untuk berikrar kepada NKRI. Selanjutnya, Riska akan mendapatkan pendampingan berkelanjutan bersama pemerintah daerah dan tokoh masyarakat lainnya. ""Selanjutnya akan dilakukan pendampingan berkelanjutan bersama pemerintah daerah, tokoh masyarakat, serta pihak terkait lainnya,"" katanya.Sebagai bagian dari proses reintegrasi sosial, dilakukan serah terima kepada pihak keluarga dan lingkungan sosial bersama stakeholder guna memastikan eks napiter dapat kembali menjalani kehidupan bermasyarakat secara normal dan produktif.""Pendekatan ini diharapkan mampu menghilangkan stigma serta memperkuat penerimaan sosial,"" jelasnya. Jim menyampaikan harapannya agar eks napiter pasca bebas dapat berkontribusi positif bagi Negara Kesatuan Republik Indonesia. Selain itu, yang bersangkutan juga diharapkan dapat berbagi pengalaman sebagai narasumber dalam kegiatan sosialisasi pencegahan tindak pidana terorisme, sehingga dapat menjadi pembelajaran bagi masyarakat.Riska sendiri ditangkap Densus 88 AT Polri pada 2023 silam. Ia tergabung dalam kelompok Ansharut Daullah dengan menjadi salah satu admin grup pembuat konten yang berbaiat ke organisasi teror ISIS.Tahun 2025, saat masih menjalani hukuman di penjara, Riska berikrar kembali ke NKRI setelah menyadari kekeliruannya.",Tanah Datar,"Selasa, 10 Feb 2026 23:50",Terorisme,Tinggi,detik.com,https://www.detik.com/sumut/berita/d-8350460/densus-88-reintegrasi-sosial-eks-napiter-perempuan-asal-tanah-datar,2026-04-28 14:38:22
829,Teroris Penembakan Masjid di Selandia Baru Ajukan Banding,"Pria berpaham supremasi kulit putih yang membunuh 51 jamaah di dua masjid di Selandia Baru itu mengajukan banding atas vonis dan hukuman seumur hidup yang dijatuhkan padanya. Brenton Tarrant menyatakan di pengadilan banding pada Senin lalu bahwa dirinya merasa terpaksa mengakui perbuatannya selama persidangan karena ""ketidakrasionalan"" akibat kondisi penahanannya. Tarrant mengatakan kesehatan mentalnya memburuk selama di penjara. Dia ditempatkan di sel isolasi, dengan akses bacaan terbatas dan minim kontak dengan narapidana lain. Pada saat mengaku bersalah, Tarrant mengaku mengalami ""kelelahan saraf"" dan kebingungan terkait identitas serta keyakinannya. Tarrant divonis atas 51 dakwaan pembunuhan, 40 dakwaan percobaan pembunuhan, dan satu dakwaan melakukan tindakan teroris. Dia menjalani hukuman seumur hidup tanpa kemungkinan pembebasan bersyaratâputusan pertama yang pernah dijatuhkan pengadilan Selandia Baru untuk kasus sejenis. Warga Australia itu melewatkan batas waktu formal untuk mengajukan banding, sehingga kini membutuhkan izin pengadilan untuk melanjutkan kasusnya.",,"Selasa, 10 Feb 2026 09:43",Terorisme,Tinggi,detik.com,https://news.detik.com/dw/d-8349029/teroris-penembakan-masjid-di-selandia-baru-ajukan-banding,2026-04-28 14:38:32
830,Pengakuan Brenton Tarrant Penembak 51 Muslim dari Balik Jeruji,"Pria yang membunuh 51 jemaah Muslim dalam penembakan massal paling mematikan dalam sejarah Selandia Baru mengajukan banding ke pengadilan. Pelaku, Brenton Tarrant, mengklaim dirinya terpaksa mengaku bersalah karena kondisi mentalnya memburuk akibat perlakuan keras selama di penjara. Dilansir dari Independent.co.uk, Senin (9/2/2026), majelis hakim di Pengadilan Banding Wellington akan mendengar bukti selama lima hari terkait klaim Tarrant bahwa dirinya tidak layak secara mental untuk mengajukan pembelaan atas dakwaan terorisme, pembunuhan, dan percobaan pembunuhan setelah serangan tahun 2019 di Christchurch. Jika permohonan bandingnya dikabulkan, perkara tersebut akan kembali disidangkan. Sebelumnya, proses persidangan batal digelar setelah Tarrant mengaku bersalah pada Maret 2020. Selain itu, pria asal Australia tersebut juga mengajukan banding atas hukumannya berupa penjara seumur hidup tanpa kemungkinan pembebasan bersyarat. Vonis tersebut merupakan yang pertama kali dijatuhkan di Selandia Baru. Kesaksian Tarrant pada Senin itu menjadi pertama kalinya ia berbicara secara substantif di ruang publik sejak menyiarkan langsung aksi penembakan massal tersebut melalui Facebook pada 2019. Tarrant, yang mengaku sebagai penganut supremasi kulit putih, disebut pindah ke Selandia Baru dengan tujuan melakukan pembantaian. Ia merencanakan aksi itu secara rinci, mengumpulkan senjata semiotomatis, berupaya menghindari deteksi, serta menulis manifesto panjang sebelum menembaki dua masjid di Christchurch.",,"Senin, 09 Feb 2026 16:00",Terorisme,Tinggi,detik.com,https://www.detik.com/jabar/berita/d-8347708/pengakuan-brenton-tarrant-penembak-51-muslim-dari-balik-jeruji,2026-04-28 14:38:39
831,Ledakan Bom di Balik Salat Jumat Mencekam di Pakistan,"Ledakan bomdi masjid Syiah setelah salat Jumat di Islamabad, Pakistan, menyisakan duka mendalam bagi korban. Ledakan bom itu diinisiasi oleh kelompok radikal Islamic State (ISIS). Mayoritas korban ledakan itu adalah jemaah salah Jumat Masjid Imam Bargah Qasr-e-Khadijatul Kubra. Masjid itu terletak di area Tarlai, pinggiram kota Islamabad. detikcom, Sabtu (7/2/2026), merangkum hal yang diketahui sejauh ini berdasarkan laporanAFPdanAljazeera: Perdana Menteri Pakistan Shehbaz Sharif mengatakan mereka yang berada di balik ledakan itu akan ditemukan dan dibawa ke pengadilan. Serangan itu merupakan yang paling mematikan di ibu kota Pakistan sejak September 2008, ketika 60 orang tewas dalam ledakan bom truk bunuh diri yang menghancurkan sebagian hotel bintang lima Marriott. Para jurnalis AFP di rumah sakit Institut Ilmu Kedokteran Pakistan melihat beberapa orang, termasuk anak-anak, dibawa masuk dengan tandu atau dengan memegang lengan dan kaki mereka. Petugas medis dan warga sekitar membantu menurunkan korban dengan pakaian berlumuran darah dari bagian belakang ambulans dan kendaraan. Setidaknya satu korban tiba di bagasi mobil.",,"Sabtu, 07 Feb 2026 22:04",Terorisme,Tinggi,detik.com,https://news.detik.com/internasional/d-8345741/ledakan-bom-di-balik-salat-jumat-mencekam-di-pakistan,2026-04-28 14:38:53
832,"Korban Tewas Bom Bunuh Diri di Masjid Pakistan Jadi 31 Orang, 131 Terluka","Korban tewas akibat serangan bunuh diri di Masjid kota Islamabad,Pakistan, bertambah. Total ada 31 orang tewas dan 131 lainnya terluka. DilansirAFP, Jumat (6/2/2026), ledakan bom terjadi di Masjid Imam Bargah Qash-e-Khadijatul Kubra setelah salat Jumat selesai. Jumlah korban jiwa diprediksi masih terus bertambah. ""Pelaku dihentikan di gerbang dan meledakkan dirinya,"" kata seorang sumber keamanan kepadaAFP. Tidak ada kelompok yang bertanggung jawab atas serangan tersebut. Sementara Perdana Menteri Pakistan Shehbaz Sharif mengatakan mereka yang berada di balik ledakan itu akan ditemukan dan dibawa ke pengadilan. Serangan itu merupakan yang paling mematikan di ibu kota Pakistan sejak September 2008, ketika 60 orang tewas dalam ledakan bom truk bunuh diri yang menghancurkan sebagian hotel bintang lima Marriott.",,"Jumat, 06 Feb 2026 21:05",Terorisme,Tinggi,detik.com,https://news.detik.com/internasional/d-8344551/korban-tewas-bom-bunuh-diri-di-masjid-pakistan-jadi-31-orang-131-terluka,2026-04-28 14:39:00
833,"Kasus SMPN 3 Sungai Raya, Polda Kalbar Jelaskan Bedanya Bom dan Molotov","Polda Kalimantan Barat (Kalbar) menjelaskan perbedaan antara bom molotov dan bom sungguhan terkait kasus pelemparan di SMPN 3 Sungai Raya, Kabupaten Kubu Raya pada Selasa (3/2/2026) lalu. Polda menegaskan bahwa keduanya berbeda dan meluruskan persepsi publik tentang 'bom' dalam kasus ini. Kabid Humas Polda Kalbar Kombes Bambang Suharyono menegaskan benda yang digunakan dalam peristiwa di SMPN 3 Sungai Raya pada Selasa (3/2/2026) tersebut bukanlah bom sebagaimana yang selama ini dibayangkan masyarakat. ""Yang digunakan adalah rakitan sederhana berupa botol berisi cairan mudah terbakar. Jika dilihat dari bentuk, isi, dan komposisinya, belum dapat dikategorikan sebagai bom seperti dalam bayangan kita semua,"" kata Bambang, Jumat (6/2/2026). Secara umum, bom merupakan alat peledak yang dirancang dengan sistem pemicu tertentu, memiliki daya ledak tinggi, serta berpotensi menimbulkan kerusakan masif dan korban jiwa. Pembuatan dan penggunaannya biasanya memerlukan keahlian teknis khusus serta bahan berdaya ledak tinggi yang diatur ketat oleh undang-undang. Sedangkan bom molotov merupakan senjata rakitan sederhana yang umumnya terbuat dari botol kaca berisi cairan mudah terbakar dan sumbu pemicu api. Molotov tidak menghasilkan ledakan besar seperti bom, melainkan memicu kobaran api saat botol pecah.",,"Jumat, 06 Feb 2026 12:00",Terorisme,Tinggi,detik.com,https://www.detik.com/kalimantan/hukum-dan-kriminal/d-8343415/kasus-smpn-3-sungai-raya-polda-kalbar-jelaskan-bedanya-bom-dan-molotov,2026-04-28 14:39:06
834,Polda Kalbar: Siswa SMP Lempar Molotov Tak Terkait Jaringan Terorisme,"Polda Kalbar menepis spekulasi yang mengaitkan kasus pelemparan benda menyerupaibomke SMP Negeri 3 Sungai Raya, Kabupaten Kubu Raya, dengan terorisme. Hasil pendalaman sementara, pelaku RY, pelajar kelas IX di SMPN 3 Sungai Raya, tidak terafiliasi dengan jaringan teroris atau kelompok radikal mana pun. ""Tidak ada keterkaitan dengan jaringan terorisme. Ini murni kasus anak berhadapan dengan hukum yang dipengaruhi faktor psikologis dan lingkungan,"" tegas Kabid Humas Polda Kalbar Kombes Bambang Suharyono, dilansir detikKalimantan, Jumat (6/2/2026). Polda Kalbar menilai edukasi publik menjadi penting agar masyarakat tidak serta-merta mengaitkan setiap tindakan kekerasan dengan terorisme. Pelabelan yang keliru dikhawatirkan justru memperburuk kondisi psikologis anak serta menghambat proses pemulihan dan pembinaan. Ke depan, kepolisian menekankan pendekatan kolaboratif dalam penanganan kasus serupa, dengan melibatkan psikolog, Unit Perlindungan Perempuan dan Anak (PPA), serta Komisi Perlindungan Anak Daerah (KPAD), guna memastikan aspek hukum, edukasi, dan perlindungan anak berjalan seimbang. ""Harus ada kolaborasi dengan stakeholder lain, seperti psikolog, unit PPA, dan KPAD untuk tindak lanjut terhadap anak yang berhadapan dengan hukum,"" kata Bambang.",Kubu Raya,"Jumat, 06 Feb 2026 11:51",Terorisme,Tinggi,detik.com,https://news.detik.com/berita/d-8343427/polda-kalbar-siswa-smp-lempar-molotov-tak-terkait-jaringan-terorisme,2026-04-28 14:39:09
835,Polda Kalbar Tegaskan Bom Molotov SMPN 3 Sungai Raya Tak Terkait Terorisme,"Kasus pelemparan benda menyerupai bom ke SMP Negeri 3 Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat (Kalbar), memunculkan beragam persepsi. Polda Kalbar menepis spekulasi yang mengaitkan peristiwa tersebut dengan terorisme. Hasil pendalaman sementara menyatakan bahwa pelaku RY, pelajar kelas IX di SMPN 3 Sungai Raya, tidak terafiliasi dengan jaringan teroris atau kelompok radikal mana pun. ""Tidak ada keterkaitan dengan jaringan terorisme. Ini murni kasus anak berhadapan dengan hukum yang dipengaruhi faktor psikologis dan lingkungan,"" tegas Kabid Humas Polda Kalbar Kombes Bambang Suharyono, Jumat (6/2/2026). Polda Kalbar menilai edukasi publik menjadi penting agar masyarakat tidak serta-merta mengaitkan setiap tindakan kekerasan dengan terorisme. Pelabelan yang keliru dikhawatirkan justru memperburuk kondisi psikologis anak serta menghambat proses pemulihan dan pembinaan. Ke depan, kepolisian menekankan pendekatan kolaboratif dalam penanganan kasus serupa, dengan melibatkan psikolog, Unit Perlindungan Perempuan dan Anak (PPA), serta Komisi Perlindungan Anak Daerah (KPAD), guna memastikan aspek hukum, edukasi, dan perlindungan anak berjalan seimbang.",Kubu Raya,"Jumat, 06 Feb 2026 11:31",Terorisme,Tinggi,detik.com,https://www.detik.com/kalimantan/hukum-dan-kriminal/d-8343404/polda-kalbar-tegaskan-bom-molotov-smpn-3-sungai-raya-tak-terkait-terorisme,2026-04-28 14:39:12
836,Desakan Agar Presiden Israel Diringkus saat Tiba di Australia,"Muncul desakan agar PresidenIsrael, Isaac Herzog diringkus saat tiba diAustralia. Herzog diundang Canberra untuk memberikan penghormatan kepada korban penembakan massal di Pantai Bondi yang menargetkan festival Yahudi. DikutipAFP, Kamis (5/2/2026), seruan untuk menangkap Herzog, disampaikan anggota Komisi Penyelidikan Internasional Independen PBB, Chris Sidoti yang berprofesi sebagai pengacara HAM. Komisi Penyelidikan Internasional Independen PBB menyelidiki pelanggaran HAM di Israel dan wilayah Palestina. ""Dia (Herzog-red) harus ditangkap jika dia datang,"" ucap Sidoti dalam seruannya kepada Australia. Sidoti juga secara terang-terangan menyerukan agar undangan kepada Herzog dicabut atau agar dia ditangkap setibanya di Australia. Dalam pernyataan kepadaAFP, Sidoti menyebut Perdana Menteri (PM) Australia, Anthony Albanese, melakukan 'kesalahan bodoh' dengan mengundang kepala negara Israel tersebut. ""Itu keputusan yang salah, dan itu perlu dibatalkan sebelum terlambat,"" ucapnya.",,"Kamis, 05 Feb 2026 20:18",Terorisme,Tinggi,detik.com,https://news.detik.com/internasional/d-8342740/desakan-agar-presiden-israel-diringkus-saat-tiba-di-australia,2026-04-28 14:39:17
837,"Siswa SD di NTT Meninggal Dunia, Menteri PPPA Singgung Sistem Perlindungan Anak","Menteri Pemberdayaan Perempuan dan Perlindungan Anak (Menteri PPPA) Arifah Fauzi ikut angkat bicara usai anak SD di Nusa Tenggara Timur (NTT) meninggal dunia lantaran tak bisa membeli buku dan pena. Ia menyampaikan duka cita mendalam kepada keluarga korban. Arifah menyebut, kejadian ini menjadi alarm keras agar sistem perlindungan anak di Indonesia dikuatkan. Pada dasarnya, pemerintah telah memiliki kebijakan Kabupaten/Kota Layak Anak (KLA). KLA adalah aturan untuk menjamin pemenuhan hak dan perlindungan anak. Sistem ini dibangun berdasarkan lima hak anak, yakni sipil dan kebebasan, lingkungan keluarga dan pengasuhan alternatif, kesehatan dasar dan kesejahteraan. Selanjutnya ada pendidikan, pemanfaatan waktu luang dan kegiatan budaya, dan terakhir perlindungan khusus. Berdasarkan hal tersebut, Arifah meminta setiap kabupaten/kota meninjau ulang implementasi KLA, terutama masalah pendidikan. Selain itu, ia juga meminta kabupaten/kota untuk memastikan bila kebijakan KLA dapat diterapkan secara konsisten dan berkelanjutan. ""Peristiwa ini menjadi pengingat bahwa penguatan sistem perlindungan anak melalui implementasi kebijakan Kabupaten/Kota Layak Anak (KLA) sangat diperlukan untuk memastikan setiap anak di Indonesia dapat mengikuti pendidikan dengan baik, bersekolah dengan aman dan nyaman,"" tuturnya dikutip dari Antara, Kamis (5/2/2026).",Nusa Tenggara,"Kamis, 05 Feb 2026 11:32",Terorisme,Tinggi,detik.com,https://www.detik.com/edu/sekolah/d-8341635/siswa-sd-di-ntt-meninggal-dunia-menteri-pppa-singgung-sistem-perlindungan-anak,2026-04-28 14:39:21
838,250 Orang Tewas Usai Serangan Separatis di Pakistan,"Lebih dari 250 orang tewas dalam serangan terkoordinir yang dilancarkan oleh kelompok separatis di seluruh provinsi Balochistan, Pakistan, sejak Sabtu lalu. Saat ini pertempuran terus berlanjut seiring pasukan pemerintah mengejar para militan. Dilansir kantor beritaAFP, Rabu (4/2/2026), Pakistan telah memerangi pemberontakan separatis Baloch selama beberapa dekade. Mereka sering melancarkan serangan bersenjata terhadap pasukan keamanan, warga negara asing, dan warga Pakistan non-lokal di provinsi kaya mineral yang berbatasan dengan Afghanistan dan Iran tersebut. Seorang pejabat senior, yang berbicara dengan syarat anonim, mengatakan kepada AFP, pada hari Rabu (4/2) bahwa ""197 teroris telah tewas dalam operasi kontra-terorisme yang sedang berlangsung"". Ia menambahkan bahwa setidaknya 36 warga sipil dan 22 personel keamanan tewas selama serangan terkoordinir di Balochistan yang bergejolak. Bentrokan sporadis masih terjadi di beberapa distrik, setelah militan menyerbu bank, penjara, kantor polisi, dan instalasi militer selama akhir pekan.",,"Rabu, 04 Feb 2026 17:46",Terorisme,Tinggi,detik.com,https://news.detik.com/internasional/d-8340798/250-orang-tewas-usai-serangan-separatis-di-pakistan,2026-04-28 14:39:29
839,Jaksa KPK Keberatan Munarman Jadi Pengacara Noel di Kasus Kemnaker,"Jaksa KPK menyatakan keberatanMunarmanmenjadi pengacara mantan Wamenaker Immanuel Ebenezer (Noel) dalam kasus dugaan pemerasan sertifikasi K3 di Kemnaker. Jaksa KPK menyoroti status Munarman yang pernah dihukum 3 tahun penjara oleh Mahkamah Agung (MA) dalam kasus tindak pidana terorisme. ""Kami dapat informasi dan mengetahui bahwa salah satu advokat terdakwa berdasarkan putusan Mahkamah Agung Nomor: 5484 K/Pid.Sus/2022 atas nama Munarman, SH dan di situ ada diputus oleh Mahkamah Agung selama 3 tahun,"" ujar Jaksa KPK di Pengadilan Tipikor Jakarta Pusat, Senin (2/2/2026). Majelis hakim lalu mengecek surat kuasa Munarman. Hakim menyatakan dokumen Munarman seperti berita acara sumpah (BAS), Kartu Tanda Anggota (KTA) dan legal standing masih valid. Hakim meminta tanggapan dari Munarman terkait keberatan tersebut. Munarman mengatakan hak dirinya sebagai advokat tidak dicabut. ""Tapi kalau JPU mempersoalkan bahwa saya pernah dihukum, itu betul, saya pernah dipidana, itu betul, tetapi itu tidak mencabut hak saya, hak keperdataan saya untuk melakukan profesi saya maupun di dalam sidang perkara saya dulu di Pengadilan Negeri Jakarta Timur tidak ada satu pun klausul yang mencabut hak-hak saya sebagai, profesi saya sebagai advokat,"" ujar Munarman. Munarman mengatakan paspornya juga tidak dibatalkan. Jaksa KPK tetap keberatan dan menanyakan apakah ada surat izin beracara untuk sidang yang dikeluarkan oleh kantor advokat Munarman.",,"Senin, 02 Feb 2026 15:29",Terorisme,Tinggi,detik.com,https://news.detik.com/berita/d-8336974/jaksa-kpk-keberatan-munarman-jadi-pengacara-noel-di-kasus-kemnaker,2026-04-28 14:39:32
840,"UU Antiteror Filipina, Ancaman Nyata Bagi Kebebasan Pers","Vonis terhadap jurnalis akar rumput Frenchie Mae Cumpio baru-baru ini memicu kekhawatiran di Filipina tentang penerapan undang-undang antiteror. Sejumlah pihak menilai undang-undang antiteror kini digunakan untuk menekan kritik dan perbedaan pendapat. Setelah hampir enam tahun ditahan tanpa putusan, pada 22 Januari 2026 Cumpio dinyatakan bersalah atas pendanaan terorisme dan dijatuhi hukuman 12 hingga 18 tahun penjara. Dia, membantah semua tuduhan tersebut. Pakar hukum dan aktivis menilai putusan itu menunjukkan bahwa undang-undang terorisme yang dirumuskan terlalu luas kerap disalahgunakan untuk menekan jurnalis, pekerja pembangunan, dan kelompok masyarakat sipil. ""Ini adalah ketidakadilan besar bahwa Frenchie dijatuhi hukuman. Tuduhan spesifik ini, pendanaan terorisme, telah digunakan untuk menarget aktivis dan jurnalis seperti Frenchie,"" kata Aleksandra Bielakowska, petugas advokasi Reporters Without Borders (RSF), kepada DW. Menurut Bielakowska, putusan ini berisiko menjadi preseden berbahaya bagi penggunaan tuduhan pendanaan terorisme secara lebih luas. Dia mencatat, sejumlah jurnalis lain di Filipina juga tengah menghadapi tuduhan serupa. Dalam putusannya, pengadilan tingkat regional di Kota Tacloban menyatakan bahwa Frenchie Mae Cumpio dan Marielle Domequil, yang merupakan seorang pekerja gereja, bersalah karena dianggap menyediakan dana dan dukungan logistik bagi anggota Tentara Rakyat Baru (New People's Army/NPA). NPA adalah sayap bersenjata Partai Komunis Filipina, yang telah ditetapkan sebagai organisasi teroris oleh Dewan Anti-Terorisme Filipina.",,"Senin, 02 Feb 2026 13:38",Terorisme,Tinggi,detik.com,https://news.detik.com/dw/d-8336699/uu-antiteror-filipina-ancaman-nyata-bagi-kebebasan-pers,2026-04-28 14:39:35
841,"Kelompok Separatis Lakukan Serangan di Pakistan, 33 Orang Tewas","Kelompok separatis melancarkan serangan terkoordinasi di seluruh provinsi Balochistan, Pakistan. Serangan itu menewaskan sedikitnya 15 personel keamanan dan 18 warga sipil. DilansirAFP, Minggu (1/2/2026), kekerasan terbaru itu terjadi di wilayah barat daya yang dilanda pemberontakan tersebut pada Sabtu (31/1). Para pejabat mengatakan 92 militan termasuk 'tiga pelaku bom bunuh diri' juga tewas. Pakistan telah memerangi pemberontakan separatis di Balochistan selama beberapa dekade. Kelompok itu sering melakukan serangan terhadap pasukan keamanan, warga negara asing, dan warga nonlokal di provinsi kaya mineral yang berbatasan dengan Afghanistan dan Iran itu. Sayap media militer mengatakan serangan telah terjadi di beberapa lokasi termasuk ibu kota provinsi Quetta dan Gwadar. ""Delapan belas warga sipil yang tidak bersalah dan 15 personel keamanan tewas,"" kata sayap media militer (ISPR) dalam sebuah pernyataan. Jumlah korban tewas di antara para militan mencapai 92 orang. Kelompok separatis Baloch sebelumnya telah menargetkan warga sipil yang diyakini telah berkolaborasi dengan badan-badan negara. Seorang pejabat militer senior di Islamabad mengatakan serangan itu 'terkoordinasi tetapi dieksekusi dengan buruk'.",,"Minggu, 01 Feb 2026 17:43",Terorisme,Tinggi,detik.com,https://news.detik.com/internasional/d-8335642/kelompok-separatis-lakukan-serangan-di-pakistan-33-orang-tewas,2026-04-28 14:39:41
842,"Ada Tersangka Teroris Belum Disidang, Eks Napiter di Lampung Minta Keadilan","Mantan narapidana terorisme berinisial JD mendatangi Mapolda Lampung. Ia ingin mencari keadilan terkait kelanjutan proses hukum terhadap tersangka kasus kepemilikan senjata api berinisial MI yang hingga kini belum disidangkan. JD menyebut MI merupakan bagian dari jaringan teroris Jamaah Islamiyah (JI) dan telah ditetapkan sebagai tersangka oleh Densus 88 Antiteror Polri. Namun, hingga kini MI tidak ditahan dan belum menjalani proses hukum lanjutan. ""Statusnya masih tersangka, tapi belum diadili,"" katanya, Jumat (23/1/2026). JD mengaku dirinya ditangkap pada November 2022 dan divonis lima tahun penjara. Ia telah menjalani hukuman selama 37 bulan dan bebas pada 30 Desember 2025. Menurut JD, MI sempat ditahan di Rutan Mako Brimob Cikeas selama sekitar enam bulan sebelum penahanannya ditangguhkan pada 2023. Namun hingga saat ini, belum ada kejelasan proses hukum selanjutnya. ""Saya hanya meminta keadilan dan kesetaraan dalam penegakan hukum,"" ujarnya.",,"Jumat, 23 Jan 2026 19:40",Terorisme,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8321959/ada-tersangka-teroris-belum-disidang-eks-napiter-di-lampung-minta-keadilan,2026-04-28 14:40:31
843,Ditlantas Polda Riau Cek Tol Permai Pastikan Kesiapan Jelang Mudik Lebaran,"Direktorat Lalu Lintas Polda Riaumelakukan pengecekan sarana infrastruktur di Tol Pekanbaru-Dumai (Permai). Langkah ini dilakukan guna memastikan kesiapan jalur dan keamanan masyarakat menjelang mudik Lebaran 2026. Dirlantas Polda Riau Kombes Jeki Rahmat Mustika bersama PT Hutama Karya melakukan pengecekan di Tol Permai pada pagi tadi. Kegiatan diawali dengan rapat koordinasi bersama manajemen PT Hutama Karya (HK) di ruas Tol Pekanbaru-Dumai (Permai). Pertemuan ini dihadiri langsung oleh jajaran pimpinan PT HK, termasuk Branch Manager Tol Permai, Fabian. ""Fokus utama pertemuan ini adalah monitoring kesiapan fisik jalan tol dalam menyambut lonjakan volume kendaraan saat mudik nanti,"" kata Kombes Jeki dalam keterangannya, Kamis (22/1/2026). Jeki mengatakan aspek keselamatan dan kelancaran arus di jalan bebas hambatan menjadiprioritas utama kolaborasiantara kepolisian dan pengelola jalan tol. Dari hasil pengecekan, Jeki mengatakan ada beberapa titik di jalan tol yang tengah dilakukan perbaikan. Di antaranya pengerjaan pemeliharaan di KM 42 dan KM 50 Tol Permai. Tidak hanya di ruas jalan tol, pengecekan juga dilakukan di wilayah pesisir, tepatnya di Pelabuhan Roro Bandar Sri Junjungan, Kota Dumai. Di lokasi ini, Ditlantas Polda Riau melakukan pengecekan fasilitas penyeberangan bersama pihak KSOP Kelas 1 Dumai dan supervisi ASDP.",,"Kamis, 22 Jan 2026 21:08",Terorisme,Tinggi,detik.com,https://news.detik.com/melindungi-tuah-marwah/d-8320393/ditlantas-polda-riau-cek-tol-permai-pastikan-kesiapan-jelang-mudik-lebaran,2026-04-28 14:40:35
844,Khamenei Salahkan AS-Israel Picu Demo Ricuh Tewaskan Ribuan Orang di Iran,"Pemimpin Tertinggi Iran, Ayatollah Ali Khamenei, mengatakan aktor-aktor yang terkait dengan Amerika Serikat (AS) dan Israel bertanggung jawab atas pembunuhan 'beberapa ribu' orang selama protes anti-pemerintah. Demonstrasi berujung ricuh itu terjadi selama beberapa minggu di Iran. ""Mereka yang terkait dengan Israel dan AS menyebabkan kerusakan besar dan membunuh beberapa ribu orang selama protes yang mengguncang Iran selama lebih dari dua minggu,"" kata Khamenei seperti dilansirAl-Jazeera, Minggu (18/1/2026). Dia menuduh kedua negara itu terlibat langsung dalam kekerasan tersebut. Dia juga menyebut Presiden AS Donald Trump sebagai 'kriminal'. ""Pemberontakan anti-Iran terbaru berbeda karena presiden AS secara pribadi terlibat,"" ujarnya. Otoritas Iran semakin menunjuk jari ke kekuatan asing atas kerusuhan tersebut dan menuduh rival geopolitik lama, terutama Israel dan AS, sebagai pihak yang memicu ketidakstabilan dan mengarahkan operasi di lapangan. Khamenei memperingatkan meskipun Iran akan menghindari eskalasi di luar perbatasannya, mereka yang dianggap bertanggung jawab akan menghadapi konsekuensi.",,"Minggu, 18 Jan 2026 09:37",Terorisme,Tinggi,detik.com,https://news.detik.com/berita/d-8312279/khamenei-salahkan-as-israel-picu-demo-ricuh-tewaskan-ribuan-orang-di-iran,2026-04-28 14:41:00
